Position,Date,Work type,Level,Title,Company,Location,Link,Description,Skills
Business,2026-07-20,On_site,Associate,Quality Assurance - Mobile Applications,Maiji Tech,"Karāchi, Sindh, Pakistan",[https://pk.linkedin.com/jobs/view/quality-assurance-mobile-applications-at-maiji-tech-4439662316](https://pk.linkedin.com/jobs/view/quality-assurance-mobile-applications-at-maiji-tech-4439662316),"HOME
ABOUT US
OUR TEAM
WEB DEVELOPMENT
APP DEVELOPMENT
CMS & E-commerce
Industry Solutions
CAREERS
CONTACT US
Join Us On Social Media
        





        
            Show more
          

          







        
            Show less",less
Business,2026-07-20,On_site,Associate,Editor & Proofreader,Maiji Tech,"Karāchi, Sindh, Pakistan",[https://pk.linkedin.com/jobs/view/editor-proofreader-at-maiji-tech-4439665284](https://pk.linkedin.com/jobs/view/editor-proofreader-at-maiji-tech-4439665284),"HOME
ABOUT US
OUR TEAM
WEB DEVELOPMENT
APP DEVELOPMENT
CMS & E-commerce
Industry Solutions
CAREERS
CONTACT US
Join Us On Social Media
        





        
            Show more
          

          







        
            Show less",less
Data Analyst,2026-07-20,On_site,Associate,Quantitative Equity Data Analyst,"Connor, Clark & Lunn Investment Management (CC&L)","Vancouver, British Columbia, Canada",[https://ca.linkedin.com/jobs/view/quantitative-equity-data-analyst-at-connor-clark-lunn-investment-management-cc-l-4406396948](https://ca.linkedin.com/jobs/view/quantitative-equity-data-analyst-at-connor-clark-lunn-investment-management-cc-l-4406396948),"We are looking for a Quantitative Equity Data Analyst to join our Quantitative Equity Team! We are a high-performance team embedded in a top-performing quant fund that manages over $75 billion in financial assets. We are dedicated to the mission-critical operation of our investment engine—a well-tuned machine responsible for generating key decisions that drive trades and investment insights. Leveraging data analytics, finance knowledge and cutting-edge technology, we aim to ensure that new and useful data products are continuously ready for research.
Do you love the idea of integrating large proprietary data sources into valuable applications? Are you a wizard at transforming ‘messy reality’ into high quality data assets? As a core member of our team, you will collaborate with investment and data experts to tackle challenging problems, and to continuously expand our capabilities in data. Based on the west coast in Vancouver, we value mentorship, collaboration, and growth in a supportive and innovative environment. Join us to make a significant impact on our investment outcomes and overall success.
What You Will Do
This is an exciting full-time role for individuals who are enthusiastic about learning the quantitative equity investment management business and excited to tackle a broad range of data, investment, and technology challenges.
You will start with a comprehensive training program, learning about various elements of quantitative equity investment management and our investment process.
You will then continue to a specialized role utilizing data analytics and data science skillsets to enable the Quantitative Equity Team’s research. Your role will involve identifying and assessing brand new data, data exploration, and proposing robust ways to integrate data products from many sources.
You will be supported with coaching and mentorship from senior members of the team, and we will create the conditions for you to grow your career steadily over time. This is an opportunity for ambitious individuals
to drive their career growth in data.
Role
While we take the approach of tailoring the career path to individual strengths, we expect successful candidates for this role to develop excellence in the following tasks:
Create processes to assess, explore, and link billions of data points.
Test structured and unstructured data sets for data quality and reliability.
Assess new data opportunities for quality and usefulness.
Evaluate your data solutions for sensibility, accuracy, and bias.
Collaborate with quantitative researchers – support alpha projects with your data expertise.
Collaborate with technology specialists – help trade off application performance and operational feasibility.
Support production deployments of your work to ensure long-term reliability.
Enable clarity of and access to your work through robust documentation and exposition.
Present findings and recommendations to key stakeholders in a clear, concise, and compelling manner.
What You Bring
Analytical Mindset – You think critically and creatively and are adept at balancing intuition with statistical validation.
Financial Knowledge – Desire to acquire the financial context needed to understand your stakeholders and make data decisions with impact.
Self-Starter – You are motivated and willing to take personal accountability for quality and timeliness of work.
Collaborative Approach – You thrive in a collaborative environment and value shared success. You proactively solicit and provide input and excel at communicating complex and technical concepts.
Time Management – You are able to manage and prioritize multiple ongoing projects.
Academic Training – At a minimum, an undergraduate degree in finance, mathematics, statistics, computer science, engineering, or related discipline. Completion of a relevant graduate degree is considered an asset.
We welcome applications from candidates with different levels of experience, including interns, new graduates, and experienced professionals. The base salary range for full-time roles is $125,000 – $200,000 annually plus a competitive performance bonus. Compensation will be determined based on experience and qualifications.
To apply for this position, please submit your resume, cover letter and academic transcripts.
CC&L Financial Group is committed to creating a diverse and inclusive environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to gender, ethnicity, religion, sexual orientation or expression, disability, or age. 
Your application will be reviewed by a member of the hiring team - AI is not used in the screening, assessment or selection of applications at this time.







        
            Show more
          

          







        
            Show less","finance, mathematics, statistics, computer science, engineering"
Business,2026-07-20,On_site,Associate,E-Commerce Sales Support Specialist,TalentPop App,"Islamabad, Islāmābād, Pakistan",[https://pk.linkedin.com/jobs/view/e-commerce-sales-support-specialist-at-talentpop-app-4439678889](https://pk.linkedin.com/jobs/view/e-commerce-sales-support-specialist-at-talentpop-app-4439678889),"Join TalentPop App as an E-Commerce Sales Support Specialist!
At TalentPop App, we’re redefining how e-commerce brands connect with their customers — turning every interaction into an opportunity for engagement, retention, and sales. As an 
E-Commerce Sales Support Specialist
, you’ll be the voice that helps customers complete their shopping journey, recover abandoned carts, and discover products they’ll love.
If you’re passionate about sales, thrive in an e-commerce environment, and enjoy converting conversations into conversions, this role is for you!
IMMEDIATE ACTION REQUIRED: APPLICATION FAST-TRACK!
To ensure your application is reviewed by the 
Recruitment Team
, you 
must
 follow these steps carefully. 
Applications that do not choose “Brand Concierge” and enter the correct code WILL NOT be reviewed.
When selecting the position during your application, please choose “Brand Concierge” from the list of available roles.
In the application form, you’ll be asked for an application code – please enter EXS in that field.
What You’ll Do
Customer Engagement: Assist customers via chat, email, phone, and SMS with inquiries about products, orders, and returns while promoting a positive and sales-oriented experience.
Drive Sales: Proactively identify opportunities for upselling, cross-selling, product bundling, and subscription recovery to increase conversions and customer retention.
Recover Opportunities: Support efforts like abandoned cart follow-ups, winbacks, and post-purchase engagement to maximize sales potential.
Order Management: Resolve order concerns quickly and accurately, turning potential issues into successful customer experiences.
Represent the Brand: Ensure every interaction reflects the brand’s identity, values, and tone for a consistent premium experience.
Insights & Collaboration: Track customer interactions and share trends with internal teams to optimize sales strategies and overall customer engagement.
What We’re Looking For
At least 1 year of proven remote/online sales and customer support experience.
Must have prior e-commerce experience (comfortable with upselling, cross-selling, subscription recovery, abandoned cart assistance, or post-purchase support).
Strong persuasive communication skills and a natural ability to convert leads and close opportunities through excellent relationship-building.
1 year of customer service experience via phone, email, or chat is required; e-commerce sales experience is a big plus.
Familiarity with Shopify, Gorgias, Zendesk, CRM tools, or customer engagement platforms is a plus.
Self-motivated, goal-oriented, and able to thrive in a fast-paced remote environment.
Technical Requirements
A personal PC or laptop with an i5 processor or higher.
A stable internet connection with at least 25 Mbps upload and download speeds.
A quiet, professional workspace for calls.
Why Join TalentPop App?
Earn commissions and enjoy annual performance-based raises.
Paid time off to relax and recharge.
HMO health coverage or a monthly health stipend for your well-being.
Performance and recognition bonuses for top achievers.
100% permanent work-from-home setup — skip the commute!
A supportive, friendly team culture with real opportunities for growth.
When applying, please include the application code 
BCS
 — it helps us review your application faster!
Ready to represent top e-commerce brands and help customers complete their online shopping journey? Apply now to become an E-Commerce Sales Support Specialist at TalentPop App!







        
            Show more
          

          







        
            Show less","CRM, less"
Business,2026-07-20,Remote,Associate,Strategy & Projects Lead,Above Zero,"Islamabad, Islāmābād, Pakistan",[https://pk.linkedin.com/jobs/view/strategy-projects-lead-at-above-zero-4439671964](https://pk.linkedin.com/jobs/view/strategy-projects-lead-at-above-zero-4439671964),"How to apply
Send your CV and a short 90 second video note - just tell us ‘why this role’ in your own voice - to sup@abovezero.pk
About Above Zero
Above Zero is Pakistan's first planned four-season mountain destination, 400 kanals at Thandiani, on a 100-year concession with the Galiyat Development Authority. Nothing like it exists in the country yet. We are small, deliberate, and moving quickly.
The role
This role works next to the CEO while the project gets funded and built, and gives you a full view of how a project this size comes together: the money, the government, the partners, and the plan.
The job is to help shape the case for the project and then carry it through. You will build the investor story and the numbers behind it, work out how it should be put to different kinds of investors, and turn what gets decided into what actually happens. As you grow into it, you will own parts of the project outright.
Alongside the case for the project, you will help carry its story outward. The investor story and the public story are the same story told to different rooms.
What you'll do
● Build the investor story and the financial narrative behind it, and shape how it lands with different kinds of investors
● Prepare investor-facing materials; decks, memos, briefing documents, follow-up correspondence
● Run the market and competitor research that keeps our positioning sharp
● Own investor and audience communications that keep the narrative alive between the big moments
● Find and pursue collaborations worth having
● Coordinate on external content and campaigns as they come up
● Turn what gets decided into what actually happens; track deliverables, chase what needs chasing
Who you are
● 2 - 4 years of work behind you, ideally with exposure to finance, strategy, consulting, or a serious operating environment
● You want to learn how large projects get financed from the inside, and plan to be able to run one yourself in a few years
● Excellent written English. You can build a case, structure a deck, and write something a senior stakeholder will read without wincing
● Sharp with numbers. Comfortable modelling, comfortable with the story a number tells
● Proactive by default: you find work, you don't wait to be handed it
● High emotional intelligence. You'll be liaising with senior figures across government, business, and creative worlds
● Comfortable with ambiguity, shifting priorities, and tight turnarounds
● A genuine interest in hospitality, conservation, design, or built environments is a plus - not a requirement
What this role offers
● A front-row seat to the building of one of Pakistan's most ambitious eco-tourism and conservation projects
● Real responsibility early, because there is no layer to hide behind
● Ownership of parts of the project as you grow into it
● Direct mentorship from the CEO







        
            Show more
          

          







        
            Show less","strategy, conservation, design, less"
Data Analyst,2026-07-20,On_site,Associate,Analyste de données en intelligence d'affaires,Cogeco Media,"Montreal, Quebec, Canada",[https://ca.linkedin.com/jobs/view/analyste-de-donn%C3%A9es-en-intelligence-d-affaires-at-cogeco-media-4414648631](https://ca.linkedin.com/jobs/view/analyste-de-donn%C3%A9es-en-intelligence-d-affaires-at-cogeco-media-4414648631),"Notre culture vous élève - il n'y a pas d'ego sur le chemin. Notre objectif commun? Nous voulons tous gagner pour nos clients. Nous visons à être toujours évolutifs, dynamiques et ambitieux. Nous croyons au pouvoir des connexions authentiques. Chaque employé fait partie de ce qui nous rend uniques sur le marché: agiles et dévoués.
Type D'horaire
Régulier
Description D'emploi
À propos de Cogeco Média
Cogeco Média est un chef de file dans le domaine de la radiodiffusion et des médias, offrant des contenus captivants et des services novateurs qui connectent les auditeurs et les entreprises. Nous cherchons à enrichir notre équipe avec des talents exceptionnels qui partagent notre passion pour l'innovation et la performance.
Description du poste
Nous sommes à la recherche d’un analyste BI motivé et stratégique pour rejoindre notre équipe. Vous jouerez un rôle clé en fournissant des analyses de données précises et des insights exploitables pour soutenir nos décisions commerciales.
Responsabilités Principales
Collaborer avec les équipes internes pour identifier les besoins en matière de données et de reporting;
Concevoir, développer et maintenir des tableaux de bord interactifs et des rapports via des outils BI tels que Tableau et Looker;
Collecter, nettoyer et analyser des données provenant de diverses sources pour obtenir des insights commerciaux;
Collaborer avec l'équipe d'ingénierie de données pour assurer la gestion, la qualité et l'intégrité des flux de données;
Identifier des tendances, des opportunités et des risques potentiels à partir des données analysées;
Communiquer efficacement les résultats aux parties prenantes internes;
Contribuer à l’amélioration continue des processus et systèmes BI.
Qualifications Requises
Diplôme universitaire en en analyse de données, en ingénierie de données ou dans un domaine connexe.
Minimum de 3 ans d’expérience dans un rôle similaire en intelligence d’affaires ou en analyse de données.
Maîtrise des outils BI tels que Power BI, Tableau, ou d'autres plateformes.
Compétences solides en SQL et connaissance des bases de données.
Expertise confirmée avec Google Cloud Platform (GCP), BigQuery et Google Sheets, avec une capacité à optimiser leur utilisation pour les processus analytiques.
Capacité à interpréter des données complexes et à fournir des solutions claires.
Excellentes compétences en communication et esprit d’équipe. 
Ce Que Nous Offrons
Un environnement de travail dynamique et collaboratif.
Avantages sociaux complets (assurance, congés, etc.).
Une chance de contribuer à des projets captivants dans le domaine des médias.
Emplacement
Montréal, QC
Société
Cogeco Média inc.
Chez Cogeco, nous savons que des origines, des points de vue et des croyances différentes peuvent apporter une valeur inestimable à notre entreprise. Cette diversité renforce notre capacité à imaginer, à innover et à nous développer en tant qu'entreprise. Nous nous engageons donc à faire tout ce qui est en notre pouvoir pour créer un milieu d'appartenance plus diversifié et inclusif.
En créant une culture où tous nos collègues peuvent donner le meilleur d'eux-mêmes au travail, nous faisons notre part pour construire un lieu de travail et un monde plus équitables. Du développement professionnel à la sécurité personnelle, Cogeco s'efforce constamment de créer un environnement qui accueille et enrichit tout le monde. Nous faisons de la santé et du bien-être de nos collègues l'une de nos plus grandes priorités, car nous savons que des employés engagés et appréciés sont synonymes d'une meilleure expérience globale pour nos clients.
Si vous avez besoin de mesures d'adaptation, quelles qu’elles soient, en ce qui concerne notre processus de recrutement, veuillez nous contacter en toute confidentialité à inclusion@cogeco.com
        





        
            Show more
          

          







        
            Show less","SQL, Google Sheets, less"
Business,2026-07-20,On_site,Associate,Creative Content Writers,Maiji Tech,"Karāchi, Sindh, Pakistan",[https://pk.linkedin.com/jobs/view/creative-content-writers-at-maiji-tech-4439651970](https://pk.linkedin.com/jobs/view/creative-content-writers-at-maiji-tech-4439651970),"HOME
ABOUT US
OUR TEAM
WEB DEVELOPMENT
APP DEVELOPMENT
CMS & E-commerce
Industry Solutions
CAREERS
CONTACT US
Join Us On Social Media
        





        
            Show more
          

          







        
            Show less",less
Data Analyst,2026-07-20,On_site,Associate,Strategy & Analytics Manager- Travel Supply & AI (100% Remote - Canada),Hopper,"Toronto, Ontario, Canada",[https://ca.linkedin.com/jobs/view/strategy-analytics-manager-travel-supply-ai-100%25-remote-canada-at-hopper-4383960416](https://ca.linkedin.com/jobs/view/strategy-analytics-manager-travel-supply-ai-100%25-remote-canada-at-hopper-4383960416),"About The Role
Hopper is hiring a Strategy & Analytics Manager to own the analytical and operational infrastructure powering our Travel Commercial organisation — the team responsible for all hotel, home, and car inventory distributed to our global partners. This is a hands-on builder role sitting at the intersection of data, process, and technology, working in close partnership with Product and Engineering and reporting into senior commercial leadership.
What Would Your Day-to-day Look Like
Design, build, and maintain the data models, dashboards, and reporting frameworks that give the commercial organisation clear, trusted visibility across the full commercial funnel
Use AI tools as a core part of your analytical workflow — accelerating insight generation, improving output quality, and freeing up capacity for higher-order problem solving
Run deep-dive analytical projects to surface patterns, anomalies, and opportunities in commercial data, translating findings into clear and actionable recommendations for commercial stakeholders
Define and track KPIs that measure both business outcomes and the effectiveness of the processes driving them, creating a continuous improvement feedback loop
Own preparation and follow-through for key internal meetings, strategic reviews, and cross-functional forums — ensuring the right data is in the room and decisions translate into clear next steps
Build the analytical frameworks that underpin quarterly planning, forecasting, and target-setting, producing outputs commercial leaders can use directly
Map, challenge, and rebuild core commercial workflows — including pipeline management, forecasting cadences, and sales incentive structures — into cleaner, faster, and more scalable ways of working
Implement operational improvements end-to-end: not just designing the solution, but driving adoption and measuring impact with rigour
Identify where AI can fundamentally change how commercial processes work, then build and deploy those solutions directly
Develop a hands-on understanding of our commercial tech stack, diagnosing where friction, data loss, or missed opportunities exist
Translate commercial problems into well-defined briefs that Product and Engineering teams can act on, bringing enough technical fluency to be a genuine peer in those conversations
An ideal candidate has
2+ years of experience in data analytics, sales operations, strategy & operations, or a similar analytical or commercial role
Proficiency in SQL and hands-on experience with BI and data tools such as Looker, Tableau, or BigQuery
A track record of building things — data models, dashboards, process frameworks, and operational tools — not just recommending them
Strong commercial instincts paired with rigorous analytical capability, comfortable moving between a strategic conversation and a hands-on build
Genuine excitement about AI and an existing habit of using it to accelerate and improve their own work, with an eagerness to bring that into how a commercial organisation operates
Experience working cross-functionally with Product and/or Engineering teams, with enough technical fluency to hold their own in those conversations
First-principles thinking — questioning assumptions, stress-testing processes, and always asking why something works the way it does
A bias for action, a strong sense of ownership, and the ability to thrive in fast-moving, ambiguous environments
Perks And Benefits Of Working With Us
Well-funded and proven startup with large ambitions, competitive salary and upsides of pre-IPO equity packages.
Hopper covers 100% of the premiums for group insurance plan.
Hopper offers life, short term and long term disability coverage.
HSA that covers eligible medical and dental expenses.
All employees and dependents have access to Dialogue’s telemedicine services, anytime, anywhere.
All employees have access to an RRSP plan with automatic pre-tax withdrawals per pay.
Please ask us about our very generous parental leave, much above industry standards!.
Unlimited PTO.
Carrot Cash travel stipend.
Access to co-working space on demand through FlexDesk AND Work-from-home stipend.
Entrepreneurial culture where pushing limits and taking risks is everyday business.
Open communication with management and company leadership.
Small, dynamic teams = massive impact
More About Hopper
At Hopper, we are on a mission to become the leading travel platform globally – powering Hopper’s mobile app, website and our B2B business, HTS (Hopper Technology Solutions). By leveraging massive amounts of data and advanced machine learning algorithms, Hopper combines its world-class travel agency offering with proprietary fintech products to bring transparency, flexibility and savings to travelers globally. We have developed several unique fintech solutions that address everything from pricing volatility to trip disruptions – helping people travel better and save more on their trips.
The Hopper platform serves hundreds of millions of travelers globally and continues to capture market share around the world. he Hopper app has been downloaded over 120 million times and has become largely popular among younger travelers – with 70% of its users being Gen Z and millennials.
While everyone knows us as the Gen Z and Millennial travel app, Hopper has evolved to become much more than that. In recent years, we’ve grown into a travel fintech provider, commerce platform, and global travel agency that powers some of the world’s largest brands.
Through HTS, our B2B division, the company supercharges its partners’ direct channels by integrating our fintech products on their sites or powering end-to-end travel portals. Today, our partners include leading travel brands like Capital One, Nubank, Air Canada, and many more.
Here are just a few stats that demonstrate the company’s recent growth:
Billions of dollars worth of travel and travel fintech are sold through Hopper and HTS’ channels every year.
Our fintech products – including Cancel for Any Reason and Flight Disruption Assistance – have exceptionally strong CSAT because the terms are always clear, and customers receive instant, no-questions-asked resolutions.
Almost 30% of our app customers purchase at least one fintech product when making a booking; and consumers are 1.6x more likely to repurchase if they add fintech to their booking vs if they booked just travel.
Given the success of its fintech products, Hopper launched a B2B initiative, HTS (Hopper Technology Solutions), which represents more than 75% of the business.
Through HTS, any travel provider (airlines, hotels, banks, travel agencies, etc.) can integrate and seamlessly distribute Hopper’s fintech or travel inventory on their direct channels. As its first HTS partnership, the company partnered with Capital One to co-develop Capital One Travel, a new travel portal designed specifically for cardholders. Other HTS partners include Air Canada, Uber, CommBank, Nubank, Flair Airlines and many more.
Hopper has been named the #1 most innovative company in travel by Fast Company Hopper has been downloaded over 120 million times and continues to have millions of new installs each month. Hopper is now the #3 largest online travel agencies in North America and 70% of our app customers are Gen-Z and millennials travelers.
Hopper has raised over $750 million USD of private capital and is backed by some of the largest institutional investors and banks in the world. HTS is primed to continue its growth as the leading travel ecommerce provider in a $1 trillion online shopping category. The Hopper app and website will also continue to be the preferred travel provider for Gen Z and Millennials.
Come take off with us!
At Hopper, we leverage AI-driven tools to assist our team in efficiently reviewing applications. These tools help us assess qualifications fairly and objectively. By submitting your application, you acknowledge the use of these automated screening technologies.
Compensation Range: CA$120K - CA$200K







        
            Show more
          

          







        
            Show less","data, process, commercial leadership, forecasting, management"
Business,2026-07-20,Remote,Associate,LinkedIn Outreach & Business Development Expert,Tek Pinnacles,"Islamabad, Islāmābād, Pakistan",[https://pk.linkedin.com/jobs/view/linkedin-outreach-business-development-expert-at-tek-pinnacles-4442531592](https://pk.linkedin.com/jobs/view/linkedin-outreach-business-development-expert-at-tek-pinnacles-4442531592),"About Tek Pinnacles
Tek Pinnacles turns every lead into a signed client automatically.
We build AI-powered client intake, onboarding, and case management systems for law firms and legal service providers across 10+ countries. Our platform captures leads 24/7, qualifies them with AI in seconds, handles dynamic intake questionnaires, retainers and e-signatures, runs automated conflict checks, and hands signed matters straight into your case system — Clio, MyCase, Salesforce, HubSpot, or Office 365. No re-keying, no leads going cold at 9 pm, no PII scattered across inboxes.
The results speak for themselves: 20,000+ claims processed, average lead-to-intake under 2 minutes, and conversion uplifts of +38% for firms running our platform.
Behind the platform sits a full technology and engineering practice. We deliver end-to-end IT services worldwide — Microsoft 365 and Office security, mobile device management, cloud infrastructure, monitoring, CRM integrations, and marketing funnel builds — the same engineering muscle that powers our legal tech.
The Role
We're looking for an outreach specialist who can open doors in the US and UK markets. You'll own our LinkedIn and cold email pipelines end-to-end — from building prospect lists to booking discovery calls for our sales and leadership teams. This is a hybrid role based in Islamabad with work-from-home flexibility.
What You'll Do
Research and identify prospective clients in the US and UK; build accurate prospect lists by industry, company size, job title, and location
Run targeted LinkedIn outreach campaigns using Sales Navigator
Create and execute cold email sequences that generate qualified leads
Write personalised outreach messages and follow-ups that get replies
Qualify leads on need, budget, authority, and timeline; book meetings and discovery calls for the sales team
Maintain all activity in the CRM; report on open rates, reply rates, connection rates, and booked meetings
Collaborate with marketing and sales to sharpen messaging and campaign performance
Meet or exceed monthly targets for outreach, qualified leads, and booked appointments
What You'll Bring
Proven experience as a BDR, SDR, Lead Generation Specialist, or similar
Hands-on LinkedIn outreach experience, including Sales Navigator
Strong cold email track record with US/UK prospects — bring your numbers (reply rates, meetings booked)
Excellent written and verbal English; clear, persuasive, professional messaging
Experience with CRM tools (HubSpot, Salesforce, Zoho, Pipedrive) and outreach tools (Lemlist, Apollo, Instantly, Mailshake, Reply.io)
Familiarity with lead research tools (Apollo, ZoomInfo, Lusha, Hunter.io, RocketReach)
Strong grasp of B2B sales processes, US/UK business culture, and buying behaviour
Self-managed, organised, target-driven — and professional in the face of rejection
Why Join Us
Ground-floor role in a growing international IT company with direct access to leadership, real ownership of the pipeline you build, and a clear path to senior BD roles as we scale in the US and UK.







        
            Show more
          

          







        
            Show less","Salesforce, Microsoft 365 and Office security, mobile device management, cloud, CRM"
Business,2026-07-20,On_site,Associate,Strategic Project Lead (Remote),Quik Hire Staffing,Pakistan,[https://pk.linkedin.com/jobs/view/strategic-project-lead-remote-at-quik-hire-staffing-4442495956](https://pk.linkedin.com/jobs/view/strategic-project-lead-remote-at-quik-hire-staffing-4442495956),"Role
: Strategic Project Lead (Remote)
Location
: Remote (Work from Anywhere)
Job
 
Type
: Full-Time
Payout
: $300K - $500K/yr
Role Overview:
We are hiring for one of our clients, seeking a Strategic Project Lead to work on a full-time basis. This role involves leading cross-functional initiatives that align technology projects with business objectives. The position requires driving execution of strategic programs while managing stakeholder relationships across global teams.
Key Responsibilities:
• Develop and execute project plans for high-impact initiatives, ensuring alignment with company-wide strategic goals
• Lead cross-functional teams to deliver scalable solutions while maintaining budget and timeline constraints
• Identify and mitigate project risks through proactive monitoring and contingency planning
• Collaborate with senior leadership to translate business needs into actionable project requirements
• Monitor progress using KPIs and adjust strategies based on performance data insights
Required Skills & Qualifications:
• Experience leading strategic projects in technology or data infrastructure environments
• Proficiency in project management methodologies such as Agile, Waterfall, or hybrid approaches
• Strong analytical skills with ability to interpret complex business and technical data
• Excellent communication skills for stakeholder engagement at all organizational levels
• Background in coordinating remote teams across multiple time zones
More About the Opportunity:
This role offers a unique opportunity to work with a global leader in the Technology, Information and Internet industry, contributing to the development of next-generation AI-driven solutions. The position provides exposure to cutting-edge projects with measurable impact on business growth.
Equal Opportunity Employer:
We hire based on skills and expertise. All qualified candidates are welcome regardless of background, experience, or prior employment history. Applications are reviewed solely on demonstrated technical ability and qualifications.
Apply Now!







        
            Show more
          

          







        
            Show less","Strategic, Project, Agile, less"
